N = 40
1 - Val: 198
2 - Val: 194
3 - Val: 192
4 - Val: 190
5 - Val: 188
6 - Val: 188
7 - Val: 188
8 - Val: 188
9 - Val: 184
10 - Val: 184
11 - Val: 184
12 - Val: 184
13 - Val: 184
14 - Val: 184
15 - Val: 182
16 - Val: 182
17 - Val: 182
18 - Val: 182
19 - Val: 182
20 - Val: 182
21 - Val: 182
22 - Val: 182
23 - Val: 182
24 - Val: 182
25 - Val: 182
26 - Val: 182
27 - Val: 182
28 - Val: 182
29 - Val: 182
30 - Val: 182
31 - Val: 182
32 - Val: 182
33 - Val: 182
34 - Val: 182
35 - Val: 182
36 - Val: 182
37 - Val: 182
38 - Val: 182
39 - Val: 182
40 - Val: 182
FROM: 198
TO  : 182
Time: 0.173294 s
1 - Val: 198
2 - Val: 194
3 - Val: 192
4 - Val: 190
5 - Val: 188
6 - Val: 188
7 - Val: 188
8 - Val: 188
9 - Val: 184
10 - Val: 184
11 - Val: 184
12 - Val: 184
13 - Val: 184
14 - Val: 184
15 - Val: 182
16 - Val: 182
17 - Val: 182
18 - Val: 182
19 - Val: 182
20 - Val: 182
21 - Val: 182
22 - Val: 182
23 - Val: 182
24 - Val: 182
25 - Val: 182
26 - Val: 182
27 - Val: 182
28 - Val: 182
29 - Val: 182
30 - Val: 182
31 - Val: 182
32 - Val: 182
33 - Val: 182
34 - Val: 182
35 - Val: 182
36 - Val: 182
37 - Val: 182
38 - Val: 182
39 - Val: 182
40 - Val: 182
FROM: 198
TO  : 182
Time: 0.158952 s
1 - Val: 198
2 - Val: 194
3 - Val: 192
4 - Val: 190
5 - Val: 188
6 - Val: 188
7 - Val: 188
8 - Val: 188
9 - Val: 184
10 - Val: 184
11 - Val: 184
12 - Val: 184
13 - Val: 184
14 - Val: 184
15 - Val: 182
16 - Val: 182
17 - Val: 182
18 - Val: 182
19 - Val: 182
20 - Val: 182
21 - Val: 182
22 - Val: 182
23 - Val: 182
24 - Val: 182
25 - Val: 182
26 - Val: 182
27 - Val: 182
28 - Val: 182
29 - Val: 182
30 - Val: 182
31 - Val: 182
32 - Val: 182
33 - Val: 182
34 - Val: 182
35 - Val: 182
36 - Val: 182
37 - Val: 182
38 - Val: 182
39 - Val: 182
40 - Val: 182
FROM: 198
TO  : 182
Time: 0.162672 s
1 - Val: 198
2 - Val: 194
3 - Val: 192
4 - Val: 190
5 - Val: 188
6 - Val: 188
7 - Val: 188
8 - Val: 188
9 - Val: 184
10 - Val: 184
11 - Val: 184
12 - Val: 184
13 - Val: 184
14 - Val: 184
15 - Val: 182
16 - Val: 182
17 - Val: 182
18 - Val: 182
19 - Val: 182
20 - Val: 182
21 - Val: 182
22 - Val: 182
23 - Val: 182
24 - Val: 182
25 - Val: 182
26 - Val: 182
27 - Val: 182
28 - Val: 182
29 - Val: 182
30 - Val: 182
31 - Val: 182
32 - Val: 182
33 - Val: 182
34 - Val: 182
35 - Val: 182
36 - Val: 182
37 - Val: 182
38 - Val: 182
