N = 80
1 - Val: 4152
2 - Val: 3950
3 - Val: 3764
4 - Val: 3588
5 - Val: 3454
6 - Val: 3306
7 - Val: 3180
8 - Val: 3058
9 - Val: 2942
10 - Val: 2834
11 - Val: 2734
12 - Val: 2638
13 - Val: 2540
14 - Val: 2448
15 - Val: 2356
16 - Val: 2270
17 - Val: 2188
18 - Val: 2108
19 - Val: 2038
20 - Val: 1978
21 - Val: 1910
22 - Val: 1842
23 - Val: 1788
24 - Val: 1738
25 - Val: 1686
26 - Val: 1650
27 - Val: 1608
28 - Val: 1572
29 - Val: 1528
30 - Val: 1496
31 - Val: 1468
32 - Val: 1440
33 - Val: 1412
34 - Val: 1384
35 - Val: 1356
36 - Val: 1326
37 - Val: 1286
38 - Val: 1254
39 - Val: 1230
40 - Val: 1206
41 - Val: 1182
42 - Val: 1158
43 - Val: 1136
44 - Val: 1114
45 - Val: 1094
46 - Val: 1074
47 - Val: 1054
48 - Val: 1036
49 - Val: 1016
50 - Val: 998
51 - Val: 982
52 - Val: 968
53 - Val: 956
54 - Val: 946
55 - Val: 936
56 - Val: 918
57 - Val: 894
58 - Val: 882
59 - Val: 874
60 - Val: 866
61 - Val: 850
62 - Val: 842
63 - Val: 836
64 - Val: 830
65 - Val: 824
66 - Val: 818
67 - Val: 812
68 - Val: 802
69 - Val: 778
70 - Val: 766
71 - Val: 762
72 - Val: 758
73 - Val: 754
74 - Val: 750
75 - Val: 746
76 - Val: 744
77 - Val: 742
78 - Val: 742
79 - Val: 742
80 - Val: 742
81 - Val: 742
82 - Val: 742
83 - Val: 740
84 - Val: 740
85 - Val: 740
86 - Val: 740
87 - Val: 730
88 - Val: 722
89 - Val: 716
90 - Val: 716
91 - Val: 716
92 - Val: 716
93 - Val: 716
94 - Val: 716
95 - Val: 716
96 - Val: 716
97 - Val: 716
98 - Val: 716
99 - Val: 716
100 - Val: 716
101 - Val: 716
102 - Val: 716
103 - Val: 716
104 - Val: 716
105 - Val: 716
106 - Val: 716
107 - Val: 716
108 - Val: 716
109 - Val: 716
110 - Val: 716
111 - Val: 716
112 - Val: 716
113 - Val: 716
114 - Val: 716
115 - Val: 716
116 - Val: 716
117 - Val: 716
118 - Val: 716
119 - Val: 716
120 - Val: 716
121 - Val: 716
122 - Val: 716
123 - Val: 716
124 - Val: 716
125 - Val: 716
126 - Val: 716
127 - Val: 716
128 - Val: 716
129 - Val: 716
130 - Val: 716
131 - Val: 716
132 - Val: 716
133 - Val: 716
134 - Val: 716
135 - Val: 716
136 - Val: 716
137 - Val: 716
138 - Val: 716
139 - Val: 716
140 - Val: 716
141 - Val: 716
142 - Val: 716
143 - Val: 716
144 - Val: 716
145 - Val: 716
146 - Val: 716
147 - Val: 716
148 - Val: 716
149 - Val: 716
150 - Val: 716
151 - Val: 716
152 - Val: 716
153 - Val: 716
154 - Val: 716
155 - Val: 716
156 - Val: 716
157 - Val: 716
158 - Val: 716
159 - Val: 716
160 - Val: 716
FROM: 4152
TO  : 716
Time: 5.52274 s
1 - Val: 4188
2 - Val: 3942
3 - Val: 3740
4 - Val: 3588
5 - Val: 3452
6 - Val: 3324
7 - Val: 3202
8 - Val: 3074
9 - Val: 2966
10 - Val: 2860
11 - Val: 2764
12 - Val: 2670
13 - Val: 2578
14 - Val: 2488
15 - Val: 2402
16 - Val: 2314
17 - Val: 2234
18 - Val: 2146
19 - Val: 2068
20 - Val: 1998
21 - Val: 1932
22 - Val: 1870
23 - Val: 1808
24 - Val: 1748
25 - Val: 1692
26 - Val: 1644
27 - Val: 1596
28 - Val: 1542
29 - Val: 1496
30 - Val: 1452
31 - Val: 1406
32 - Val: 1374
33 - Val: 1338
34 - Val: 1306
35 - Val: 1274
36 - Val: 1238
37 - Val: 1210
38 - Val: 1182
39 - Val: 1154
40 - Val: 1130
41 - Val: 1106
42 - Val: 1084
43 - Val: 1062
44 - Val: 1042
45 - Val: 1020
46 - Val: 1000
47 - Val: 984
48 - Val: 966
49 - Val: 950
50 - Val: 934
51 - Val: 920
52 - Val: 902
53 - Val: 888
54 - Val: 876
55 - Val: 866
56 - Val: 852
57 - Val: 840
58 - Val: 830
59 - Val: 820
60 - Val: 808
61 - Val: 798
62 - Val: 790
63 - Val: 782
64 - Val: 776
65 - Val: 770
66 - Val: 760
67 - Val: 756
68 - Val: 752
69 - Val: 748
70 - Val: 740
71 - Val: 736
72 - Val: 734
73 - Val: 732
74 - Val: 730
75 - Val: 728
76 - Val: 728
77 - Val: 728
78 - Val: 726
79 - Val: 726
80 - Val: 726
81 - Val: 724
82 - Val: 720
83 - Val: 720
84 - Val: 720
85 - Val: 720
86 - Val: 718
87 - Val: 718
88 - Val: 718
89 - Val: 718
90 - Val: 718
91 - Val: 718
92 - Val: 718
93 - Val: 718
94 - Val: 718
95 - Val: 712
96 - Val: 708
97 - Val: 706
98 - Val: 704
99 - Val: 702
100 - Val: 700
101 - Val: 700
102 - Val: 700
103 - Val: 700
104 - Val: 700
105 - Val: 700
106 - Val: 700
107 - Val: 700
108 - Val: 700
109 - Val: 700
110 - Val: 700
111 - Val: 700
112 - Val: 700
113 - Val: 700
114 - Val: 700
115 - Val: 700
116 - Val: 700
117 - Val: 700
118 - Val: 700
119 - Val: 700
120 - Val: 700
121 - Val: 700
122 - Val: 700
123 - Val: 700
124 - Val: 700
125 - Val: 700
126 - Val: 700
127 - Val: 700
128 - Val: 700
129 - Val: 700
130 - Val: 700
131 - Val: 700
132 - Val: 700
133 - Val: 700
134 - Val: 700
135 - Val: 700
136 - Val: 700
137 - Val: 700
138 - Val: 700
139 - Val: 700
140 - Val: 700
141 - Val: 700
142 - Val: 700
143 - Val: 700
144 - Val: 700
145 - Val: 700
146 - Val: 700
147 - Val: 700
148 - Val: 700
149 - Val: 700
150 - Val: 700
151 - Val: 700
152 - Val: 700
153 - Val: 700
154 - Val: 700
155 - Val: 700
156 - Val: 700
157 - Val: 700
158 - Val: 700
159 - Val: 700
160 - Val: 700
FROM: 4188
TO  : 700
Time: 5.33004 s
1 - Val: 4014
2 - Val: 3830
3 - Val: 3638
4 - Val: 3470
5 - Val: 3314
6 - Val: 3166
