N = 120
1 - Val: 1582
2 - Val: 1504
3 - Val: 1464
4 - Val: 1438
5 - Val: 1416
6 - Val: 1398
7 - Val: 1382
8 - Val: 1368
9 - Val: 1358
10 - Val: 1350
11 - Val: 1344
12 - Val: 1336
13 - Val: 1330
14 - Val: 1316
15 - Val: 1304
16 - Val: 1298
17 - Val: 1292
18 - Val: 1288
19 - Val: 1284
20 - Val: 1282
21 - Val: 1280
22 - Val: 1278
23 - Val: 1278
24 - Val: 1278
25 - Val: 1278
26 - Val: 1278
27 - Val: 1278
28 - Val: 1278
29 - Val: 1278
30 - Val: 1278
31 - Val: 1278
32 - Val: 1278
33 - Val: 1278
34 - Val: 1278
35 - Val: 1278
36 - Val: 1278
37 - Val: 1278
38 - Val: 1278
39 - Val: 1278
40 - Val: 1278
41 - Val: 1278
42 - Val: 1278
43 - Val: 1278
44 - Val: 1278
45 - Val: 1278
46 - Val: 1278
47 - Val: 1278
48 - Val: 1278
49 - Val: 1278
50 - Val: 1278
51 - Val: 1278
52 - Val: 1278
53 - Val: 1278
54 - Val: 1278
55 - Val: 1278
56 - Val: 1278
57 - Val: 1278
58 - Val: 1278
59 - Val: 1278
60 - Val: 1278
61 - Val: 1278
62 - Val: 1278
63 - Val: 1278
64 - Val: 1278
65 - Val: 1278
66 - Val: 1278
67 - Val: 1278
68 - Val: 1278
69 - Val: 1278
70 - Val: 1278
71 - Val: 1278
72 - Val: 1278
73 - Val: 1278
74 - Val: 1278
75 - Val: 1278
76 - Val: 1278
77 - Val: 1278
78 - Val: 1278
79 - Val: 1278
80 - Val: 1278
81 - Val: 1278
82 - Val: 1276
83 - Val: 1274
84 - Val: 1274
85 - Val: 1274
86 - Val: 1274
87 - Val: 1274
88 - Val: 1274
89 - Val: 1274
90 - Val: 1274
91 - Val: 1274
92 - Val: 1274
93 - Val: 1274
94 - Val: 1274
95 - Val: 1274
96 - Val: 1274
97 - Val: 1274
98 - Val: 1274
99 - Val: 1274
100 - Val: 1274
101 - Val: 1274
102 - Val: 1274
